Cannonball,198,https://oldschool.runescape.wiki/images/thumb/7/73/Cannonball_detail.png/619px-Cannonball_detail.png?3f7a7
Cannon base,174202,https://oldschool.runescape.wiki/images/thumb/2/2c/Cannon_base_detail.png/438px-Cannon_base_detail.png?5dbe3
Cannon stand,187004,https://oldschool.runescape.wiki/images/thumb/7/76/Cannon_stand_detail.png/591px-Cannon_stand_detail.png?5dbe3
Cannon barrels,198083,https://oldschool.runescape.wiki/images/thumb/5/54/Cannon_barrels_detail.png/618px-Cannon_barrels_detail.png?b8157
Cannon furnace,189354,https://oldschool.runescape.wiki/images/thumb/d/d0/Cannon_furnace_detail.png/578px-Cannon_furnace_detail.png?5dbe3
Insect repellent,69,https://oldschool.runescape.wiki/images/thumb/0/08/Insect_repellent_detail.png/379px-Insect_repellent_detail.png?4088d
Bucket of wax,842,https://oldschool.runescape.wiki/images/thumb/0/0a/Bucket_of_wax_detail.png/421px-Bucket_of_wax_detail.png?56400
Candle,219,https://oldschool.runescape.wiki/images/thumb/8/83/Candle_detail.png/175px-Candle_detail.png?abbb3
Bronze arrowtips,5,https://oldschool.runescape.wiki/images/thumb/8/84/Bronze_arrowtips_detail.png/729px-Bronze_arrowtips_detail.png?51f39
Iron arrowtips,10,https://oldschool.runescape.wiki/images/thumb/5/5d/Iron_arrowtips_detail.png/729px-Iron_arrowtips_detail.png?38d16
Steel arrowtips,24,https://oldschool.runescape.wiki/images/thumb/9/97/Steel_arrowtips_detail.png/729px-Steel_arrowtips_detail.png?28634
Mithril arrowtips,36,https://oldschool.runescape.wiki/images/thumb/2/21/Mithril_arrowtips_detail.png/729px-Mithril_arrowtips_detail.png?f7f87
Adamant arrowtips,81,https://oldschool.runescape.wiki/images/thumb/7/7e/Adamant_arrowtips_detail.png/729px-Adamant_arrowtips_detail.png?f7391
Rune arrowtips,217,https://oldschool.runescape.wiki/images/thumb/e/e6/Rune_arrowtips_detail.png/729px-Rune_arrowtips_detail.png?b78f3
Opal bolt tips,32,https://oldschool.runescape.wiki/images/thumb/a/a8/Opal_bolt_tips_detail.png/601px-Opal_bolt_tips_detail.png?b6267
Pearl bolt tips,40,https://oldschool.runescape.wiki/images/thumb/9/94/Pearl_bolt_tips_detail.png/601px-Pearl_bolt_tips_detail.png?a8cf8
Barb bolttips,92,https://oldschool.runescape.wiki/images/thumb/8/8f/Barb_bolttips_detail.png/480px-Barb_bolttips_detail.png?30165
Longbow (u),20,https://oldschool.runescape.wiki/images/thumb/a/ab/Longbow_%28u%29_detail.png/506px-Longbow_%28u%29_detail.png?00204
Shortbow (u),5,https://oldschool.runescape.wiki/images/thumb/8/83/Shortbow_%28u%29_detail.png/800px-Shortbow_%28u%29_detail.png?f9432
Arrow shaft,1,https://oldschool.runescape.wiki/images/thumb/b/b3/Arrow_shaft_detail.png/610px-Arrow_shaft_detail.png?1183f
Headless arrow,7,https://oldschool.runescape.wiki/images/thumb/8/86/Headless_arrow_detail.png/629px-Headless_arrow_detail.png?e9975
Oak shortbow (u),25,https://oldschool.runescape.wiki/images/thumb/f/f0/Oak_shortbow_%28u%29_detail.png/800px-Oak_shortbow_%28u%29_detail.png?cd070
Oak longbow (u),37,https://oldschool.runescape.wiki/images/thumb/5/5e/Oak_longbow_%28u%29_detail.png/506px-Oak_longbow_%28u%29_detail.png?c0712
Willow longbow (u),70,https://oldschool.runescape.wiki/images/thumb/b/b9/Willow_longbow_%28u%29_detail.png/506px-Willow_longbow_%28u%29_detail.png?c0712
Willow shortbow (u),45,https://oldschool.runescape.wiki/images/thumb/0/04/Willow_shortbow_%28u%29_detail.png/800px-Willow_shortbow_%28u%29_detail.png?f9432
Maple longbow (u),98,https://oldschool.runescape.wiki/images/thumb/3/35/Maple_longbow_%28u%29_detail.png/506px-Maple_longbow_%28u%29_detail.png?1f7ac
Maple shortbow (u),91,https://oldschool.runescape.wiki/images/thumb/a/ac/Maple_shortbow_%28u%29_detail.png/800px-Maple_shortbow_%28u%29_detail.png?cd070
Yew longbow (u),299,https://oldschool.runescape.wiki/images/thumb/7/73/Yew_longbow_%28u%29_detail.png/506px-Yew_longbow_%28u%29_detail.png?40659
Yew shortbow (u),212,https://oldschool.runescape.wiki/images/thumb/b/b1/Yew_shortbow_%28u%29_detail.png/800px-Yew_shortbow_%28u%29_detail.png?77ccc
Magic longbow (u),993,https://oldschool.runescape.wiki/images/thumb/4/48/Magic_longbow_%28u%29_detail.png/506px-Magic_longbow_%28u%29_detail.png?40659
Magic shortbow (u),781,https://oldschool.runescape.wiki/images/thumb/8/84/Magic_shortbow_%28u%29_detail.png/800px-Magic_shortbow_%28u%29_detail.png?00204
Guam potion (unf),136,https://oldschool.runescape.wiki/images/thumb/5/5b/Guam_potion_%28unf%29_detail.png/404px-Guam_potion_%28unf%29_detail.png?3901e
Marrentill potion (unf),79,https://oldschool.runescape.wiki/images/thumb/3/30/Marrentill_potion_%28unf%29_detail.png/404px-Marrentill_potion_%28unf%29_detail.png?81441
Tarromin potion (unf),193,https://oldschool.runescape.wiki/images/thumb/8/84/Tarromin_potion_%28unf%29_detail.png/404px-Tarromin_potion_%28unf%29_detail.png?09357
Harralander potion (unf),813,https://oldschool.runescape.wiki/images/thumb/a/a0/Harralander_potion_%28unf%29_detail.png/404px-Harralander_potion_%28unf%29_detail.png?b97c9
Ranarr potion (unf),6810,https://oldschool.runescape.wiki/images/thumb/6/61/Ranarr_potion_%28unf%29_detail.png/404px-Ranarr_potion_%28unf%29_detail.png?6df3a
Irit potion (unf),743,https://oldschool.runescape.wiki/images/thumb/1/16/Irit_potion_%28unf%29_detail.png/404px-Irit_potion_%28unf%29_detail.png?c02db
Avantoe potion (unf),1722,https://oldschool.runescape.wiki/images/thumb/8/86/Avantoe_potion_%28unf%29_detail.png/404px-Avantoe_potion_%28unf%29_detail.png?c02db
Kwuarm potion (unf),1278,https://oldschool.runescape.wiki/images/thumb/2/20/Kwuarm_potion_%28unf%29_detail.png/404px-Kwuarm_potion_%28unf%29_detail.png?757a0
Cadantine potion (unf),1812,https://oldschool.runescape.wiki/images/thumb/e/e3/Cadantine_potion_%28unf%29_detail.png/404px-Cadantine_potion_%28unf%29_detail.png?d2bb3
Dwarf weed potion (unf),663,https://oldschool.runescape.wiki/images/thumb/9/9e/Dwarf_weed_potion_%28unf%29_detail.png/404px-Dwarf_weed_potion_%28unf%29_detail.png?66938
Torstol potion (unf),7304,https://oldschool.runescape.wiki/images/thumb/8/8c/Torstol_potion_%28unf%29_detail.png/404px-Torstol_potion_%28unf%29_detail.png?f5f9a
Strength potion(4),374,https://oldschool.runescape.wiki/images/thumb/4/4b/Strength_potion%284%29_detail.png/404px-Strength_potion%284%29_detail.png?c15a8
Strength potion(3),247,https://oldschool.runescape.wiki/images/thumb/8/87/Strength_potion%283%29_detail.png/404px-Strength_potion%283%29_detail.png?c15a8
Strength potion(2),180,https://oldschool.runescape.wiki/images/thumb/8/80/Strength_potion%282%29_detail.png/404px-Strength_potion%282%29_detail.png?c15a8
Strength potion(1),94,https://oldschool.runescape.wiki/images/thumb/d/dd/Strength_potion%281%29_detail.png/404px-Strength_potion%281%29_detail.png?10c1e
Attack potion(3),3,https://oldschool.runescape.wiki/images/thumb/d/d5/Attack_potion%283%29_detail.png/404px-Attack_potion%283%29_detail.png?a4596
Attack potion(2),4,https://oldschool.runescape.wiki/images/thumb/d/dd/Attack_potion%282%29_detail.png/404px-Attack_potion%282%29_detail.png?b8833
Attack potion(1),2,https://oldschool.runescape.wiki/images/thumb/f/f8/Attack_potion%281%29_detail.png/404px-Attack_potion%281%29_detail.png?7c905
Restore potion(3),48,https://oldschool.runescape.wiki/images/thumb/d/d4/Restore_potion%283%29_detail.png/404px-Restore_potion%283%29_detail.png?19bac
Restore potion(2),53,https://oldschool.runescape.wiki/images/thumb/3/3d/Restore_potion%282%29_detail.png/404px-Restore_potion%282%29_detail.png?19bac
Restore potion(1),29,https://oldschool.runescape.wiki/images/thumb/9/97/Restore_potion%281%29_detail.png/404px-Restore_potion%281%29_detail.png?6e455
Defence potion(3),191,https://oldschool.runescape.wiki/images/thumb/9/99/Defence_potion%283%29_detail.png/404px-Defence_potion%283%29_detail.png?920f2
Defence potion(2),190,https://oldschool.runescape.wiki/images/thumb/d/dd/Defence_potion%282%29_detail.png/404px-Defence_potion%282%29_detail.png?920f2
Defence potion(1),95,https://oldschool.runescape.wiki/images/thumb/3/33/Defence_potion%281%29_detail.png/404px-Defence_potion%281%29_detail.png?695b0
Prayer potion(3),6633,https://oldschool.runescape.wiki/images/thumb/a/a4/Prayer_potion%283%29_detail.png/404px-Prayer_potion%283%29_detail.png?65333
Prayer potion(2),4381,https://oldschool.runescape.wiki/images/thumb/8/84/Prayer_potion%282%29_detail.png/404px-Prayer_potion%282%29_detail.png?65333
Prayer potion(1),2200,https://oldschool.runescape.wiki/images/thumb/f/f5/Prayer_potion%281%29_detail.png/404px-Prayer_potion%281%29_detail.png?95c8d
Super attack(3),138,https://oldschool.runescape.wiki/images/thumb/b/b0/Super_attack%283%29_detail.png/404px-Super_attack%283%29_detail.png?5ff9c
Super attack(2),81,https://oldschool.runescape.wiki/images/thumb/b/b5/Super_attack%282%29_detail.png/404px-Super_attack%282%29_detail.png?112fb
Super attack(1),45,https://oldschool.runescape.wiki/images/thumb/a/ae/Super_attack%281%29_detail.png/404px-Super_attack%281%29_detail.png?96bdb
Fishing potion(3),131,https://oldschool.runescape.wiki/images/thumb/e/e5/Fishing_potion%283%29_detail.png/404px-Fishing_potion%283%29_detail.png?c361c
